Type,Metric,value
MNL,DCR,0.0012055518604363277
MNL,DCR,0.001198514574301108
MNL,DCR,0.0012903278771830221
MNL,DCR,0.0012215863549194404
MNL,DCR,0.0012422399098074158
MNL,DCR,0.0013333210293177986
MNL,DCR,0.0012542209812031048
MNL,DCR,0.0012616356657561417
MNL,DCR,0.00136442076637069
MNL,DCR,0.0012472501695871892
MNL,DCR,0.0012190730980021157
MNL,DCR,0.0012965559264874807
MNL,DCR,0.0012747247381814663
MNL,DCR,0.001238697949362264
MNL,DCR,0.0012453985916127338
MNL,DCR,0.0012373313132348393
MNL,DCR,0.001276482234001698
AD-MNL,DCR,0.0012461622218338363
AD-MNL,DCR,0.0013277596793101524
AD-MNL,DCR,0.001268768836051787
AD-MNL,DCR,0.0012147610163503067
AD-MNL,DCR,0.001242985639096448
AD-MNL,DCR,0.0013317802879183925
AD-MNL,DCR,0.0012580657388560062
AD-MNL,DCR,0.0012635948165080368
AD-MNL,DCR,0.0013719365578328153
AD-MNL,DCR,0.0012874815162263965
AD-MNL,DCR,0.0012840695138476622
AD-MNL,DCR,0.001390505755296076
AD-MNL,DCR,0.001289017724065979
AD-MNL,DCR,0.001273596031284904
AD-MNL,DCR,0.0013240406045743171
AD-MNL,DCR,0.0012958045713964506
AD-MNL,DCR,0.00127017425460185
AD-MNL,DCR,0.0012960454088938042
AD-MNL,DCR,0.001268440958707923
AD-MNL,DCR,0.0013024122638846944
CART,DCR,0.0009855256344620828
CART,DCR,0.0010199950543806123
CART,DCR,0.000982601522213557
CART,DCR,0.0009882813080457108
CART,DCR,0.001001760458079574
CART,DCR,0.0009587917278785246
CART,DCR,0.000975398430011525
CART,DCR,0.001021219725758059
CART,DCR,0.0009940207236624613
CART,DCR,0.0010142197494518283
CART,DCR,0.0010406924174770635
CART,DCR,0.001081882353176196
CART,DCR,0.0010324834863417543
CART,DCR,0.0010014599874001884
CART,DCR,0.000979019531212968
CART,DCR,0.0010267360497017023
CART,DCR,0.0009922114743608822
CART,DCR,0.0010584099464772412
CART,DCR,0.0010209775703611977
CART,DCR,0.0009824721316983188
AD-CART,DCR,0.000991966907280618
AD-CART,DCR,0.0010375316873857967
AD-CART,DCR,0.0009962330280559918
AD-CART,DCR,0.0009914966499142894
AD-CART,DCR,0.0010130257669697575
AD-CART,DCR,0.0009846628700620726
AD-CART,DCR,0.0009820817365718282
AD-CART,DCR,0.0010265087749930808
AD-CART,DCR,0.001004315668208442
AD-CART,DCR,0.0010320720473548147
AD-CART,DCR,0.0010445286620780212
AD-CART,DCR,0.0010988968075826239
AD-CART,DCR,0.0010318103223807787
AD-CART,DCR,0.001013328974624849
AD-CART,DCR,0.0009781949203180845
AD-CART,DCR,0.0010435570246995266
AD-CART,DCR,0.0010051699807007508
AD-CART,DCR,0.0010701582342857927
AD-CART,DCR,0.0010319556268064219
AD-CART,DCR,0.0009905167606857627
MOSTLY.AI,DCR,0.0009723602014543391
MOSTLY.AI,DCR,0.0009507826876554665
MOSTLY.AI,DCR,0.0009113952069397792
MOSTLY.AI,DCR,0.0009522216381678528
MOSTLY.AI,DCR,0.0009035967084337656
MOSTLY.AI,DCR,0.0009274255339462896
MOSTLY.AI,DCR,0.0008872701460051998
MOSTLY.AI,DCR,0.0008836217134238992
MOSTLY.AI,DCR,0.0009403451656641782
MOSTLY.AI,DCR,0.0008731037799907153
MOSTLY.AI,DCR,0.0008867294118464811
MOSTLY.AI,DCR,0.00091097239055368
MOSTLY.AI,DCR,0.0008924439237392237
MOSTLY.AI,DCR,0.0009238821259019607
MOSTLY.AI,DCR,0.0009326179046240195
MOSTLY.AI,DCR,0.0009593173156743877
MOSTLY.AI,DCR,0.0008620869917783595
MOSTLY.AI,DCR,0.0009299750792697526
MOSTLY.AI,DCR,0.0008957458043323718
MOSTLY.AI,DCR,0.0008902754695466679
Train,NNDR,0.0
MNL,NNDR,0.07456257716977877
MNL,NNDR,0.07796041329807736
MNL,NNDR,0.0689762814081605
MNL,NNDR,0.07203680747264062
MNL,NNDR,0.06974266735712728
MNL,NNDR,0.06989486450011155
MNL,NNDR,0.07182402939165154
MNL,NNDR,0.08246856713080829
MNL,NNDR,0.0721486899174456
MNL,NNDR,0.07143289867004993
MNL,NNDR,0.07241451412422985
MNL,NNDR,0.07686646426121259
MNL,NNDR,0.07503530254590574
MNL,NNDR,0.07056850216523425
MNL,NNDR,0.07110764998739527
MNL,NNDR,0.06972421517930218
MNL,NNDR,0.07050738201160898
MNL,NNDR,0.07181040648263601
MNL,NNDR,0.07303344496831331
MNL,NNDR,0.07341425860762092
AD-MNL,NNDR,0.05161762575874567
AD-MNL,NNDR,0.07777228521725925
AD-MNL,NNDR,0.06687313834914063
AD-MNL,NNDR,0.06940587937935234
AD-MNL,NNDR,0.07081415510788623
AD-MNL,NNDR,0.0697491935410531
AD-MNL,NNDR,0.07196960939066985
AD-MNL,NNDR,0.07833718664087695
AD-MNL,NNDR,0.06930660740893525
AD-MNL,NNDR,0.0722333910209434
AD-MNL,NNDR,0.05844554179996533
AD-MNL,NNDR,0.07429903928894961
AD-MNL,NNDR,0.07402903895026186
AD-MNL,NNDR,0.07221228575905961
AD-MNL,NNDR,0.07193217142272848
AD-MNL,NNDR,0.06409651491817157
AD-MNL,NNDR,0.07002316350188247
AD-MNL,NNDR,0.06872265456007756
AD-MNL,NNDR,0.07412816948932481
AD-MNL,NNDR,0.06970977216861804
CART,NNDR,0.06723112629700373
CART,NNDR,0.07031169290791058
CART,NNDR,0.06828671050600642
CART,NNDR,0.07300358182060876
CART,NNDR,0.06790884545699118
CART,NNDR,0.06988724792096467
CART,NNDR,0.0659845050450081
CART,NNDR,0.07230245488775237
CART,NNDR,0.07658693747618425
CART,NNDR,0.07277217964137292
CART,NNDR,0.07076952243797482
CART,NNDR,0.07384829639932078
CART,NNDR,0.07557447835146962
CART,NNDR,0.07004110984917457
CART,NNDR,0.0760556124348785
CART,NNDR,0.07393432979457555
CART,NNDR,0.07445959748818516
CART,NNDR,0.06776760953408531
CART,NNDR,0.07297331767806431
CART,NNDR,0.06914469934044293
AD-CART,NNDR,0.06635073211553655
AD-CART,NNDR,0.06733721007935847
AD-CART,NNDR,0.066343098559036
AD-CART,NNDR,0.07262149032799352
AD-CART,NNDR,0.06778793585983114
AD-CART,NNDR,0.06939025304015989
AD-CART,NNDR,0.06483492217180115
AD-CART,NNDR,0.06934689417646385
AD-CART,NNDR,0.07549276896805525
AD-CART,NNDR,0.07281160938748019
AD-CART,NNDR,0.0692632966120961
AD-CART,NNDR,0.07315418285891313
AD-CART,NNDR,0.07392371981001483
AD-CART,NNDR,0.06487107403352489
AD-CART,NNDR,0.07069788265464522
AD-CART,NNDR,0.07397453979497015
AD-CART,NNDR,0.06939075701192862
AD-CART,NNDR,0.06610331116318875
AD-CART,NNDR,0.0700551815585927
AD-CART,NNDR,0.0686735082509451
MOSTLY.AI,NNDR,0.08253918891032244
MOSTLY.AI,NNDR,0.08127819511140705
MOSTLY.AI,NNDR,0.08203837508537377
MOSTLY.AI,NNDR,0.08160413505220611
MOSTLY.AI,NNDR,0.07553596752148717
MOSTLY.AI,NNDR,0.07771523947435123
MOSTLY.AI,NNDR,0.08344415487886178
MOSTLY.AI,NNDR,0.0745945384525095
MOSTLY.AI,NNDR,0.07724315003823826
MOSTLY.AI,NNDR,0.08326294020946699
MOSTLY.AI,NNDR,0.07909155736307352
MOSTLY.AI,NNDR,0.08255607551144571
MOSTLY.AI,NNDR,0.08105441185715787
MOSTLY.AI,NNDR,0.07988698528253232
MOSTLY.AI,NNDR,0.0812099278712
MOSTLY.AI,NNDR,0.07546512284686234
MOSTLY.AI,NNDR,0.07234640970405963
MOSTLY.AI,NNDR,0.08089502710917756
MOSTLY.AI,NNDR,0.07472932680859012
MOSTLY.AI,NNDR,0.0794556783501134
