Delta,Type,value
0.04103512820512821,AD-MNL,0.7725539048810316
0.06154769230769231,AD-MNL,0.8167919667975705
0.08206025641025641,AD-MNL,0.8402383058038453
0.10257282051282052,AD-MNL,0.8575679858922953
0.12308538461538461,AD-MNL,0.8695895577806697
0.14359794871794873,AD-MNL,0.8798150588765685
0.16411051282051284,AD-MNL,0.887083043477652
0.18462307692307695,AD-MNL,0.8953255988825248
0.20513564102564105,AD-MNL,0.9020987200308686
0.22564820512820516,AD-MNL,0.9079265686188759
0.24616076923076924,AD-MNL,0.9151158084326353
0.2666733333333334,AD-MNL,0.9234682738771702
0.28718589743589745,AD-MNL,0.9287192978295524
0.3076984615384616,AD-MNL,0.9342943051202512
0.32821102564102567,AD-MNL,0.9393342054236552
0.34872358974358975,AD-MNL,0.9435150563112049
0.3692361538461539,AD-MNL,0.9469854332343738
0.38974871794871796,AD-MNL,0.9538959666777149
0.4102612820512821,AD-MNL,0.9574173741763617
0.4307738461538462,AD-MNL,0.9602407427262651
0.4512864102564103,AD-MNL,0.9617824252637346
0.4717989743589744,AD-MNL,0.9630725429759204
0.49231153846153847,AD-MNL,0.9652187840550743
0.5128241025641025,AD-MNL,0.9681413121791904
0.5333366666666667,AD-MNL,0.9719223257891823
0.5538492307692308,AD-MNL,0.9748468672537701
0.5743617948717948,AD-MNL,0.9773203782765041
0.5948743589743589,AD-MNL,0.9873869900907819
0.6153869230769231,AD-MNL,0.9896082844342702
0.6358994871794872,AD-MNL,0.990226324984534
0.6564120512820513,AD-MNL,0.9910448192009937
0.6769246153846153,AD-MNL,0.991591351610626
0.6974371794871794,AD-MNL,0.9919627423616267
0.7179497435897436,AD-MNL,0.9944182918667378
0.7384623076923077,AD-MNL,0.9951415434517777
0.7589748717948718,AD-MNL,0.9954343535879785
0.7794874358974359,AD-MNL,0.9956096479370894
0.8,AD-MNL,0.9958341873370824
1e-05,CART,1.4898688915375446e-05
0.020522564102564103,CART,0.7993444576877233
0.04103512820512821,CART,0.8890122169249107
0.06154769230769231,CART,0.9182881406436236
0.08206025641025641,CART,0.9337455303933254
0.10257282051282052,CART,0.9432285458879617
0.12308538461538461,CART,0.9500223480333732
0.14359794871794873,CART,0.9561159117997617
0.16411051282051284,CART,0.9600715137067939
0.18462307692307695,CART,0.9638036352800954
0.20513564102564105,CART,0.9678411799761623
0.22564820512820516,CART,0.971416865315852
0.24616076923076924,CART,0.9746349821215732
0.2666733333333334,CART,0.9771230631704411
0.28718589743589745,CART,0.9791120381406436
0.3076984615384616,CART,0.98095947556615
0.32821102564102567,CART,0.9820545292014303
0.34872358974358975,CART,0.9832389749702024
0.3692361538461539,CART,0.9845053635280093
