Delta,Type,value
0.41025820512820516,CART,0.9950575456623314
0.42307846153846157,CART,0.9953680292886181
0.435898717948718,CART,0.9956714334836869
0.4487189743589744,CART,0.9959452557697366
0.4615392307692308,CART,0.9961927830255466
0.4743594871794872,CART,0.9964145209247759
0.48717974358974364,CART,0.9966084467727905
0.5,CART,0.9967993385788549
1e-05,MOSTLY.AI,0.00046218572382127467
0.01283025641025641,MOSTLY.AI,0.4106322943425231
0.02565051282051282,MOSTLY.AI,0.786935415360343
0.03847076923076923,MOSTLY.AI,0.8693420174356277
0.051291025641025646,MOSTLY.AI,0.9117963551042699
0.06411128205128205,MOSTLY.AI,0.9294817856348226
0.07693153846153845,MOSTLY.AI,0.9448067315277413
0.08975179487179487,MOSTLY.AI,0.9575183559538016
0.10257205128205128,MOSTLY.AI,0.9644926070511135
0.1153923076923077,MOSTLY.AI,0.9685329395821114
0.12821256410256412,MOSTLY.AI,0.9713869617103905
0.14103282051282054,MOSTLY.AI,0.9734106676914985
0.15385307692307693,MOSTLY.AI,0.9752695240599527
0.16667333333333334,MOSTLY.AI,0.9770818584518295
0.17949358974358975,MOSTLY.AI,0.9785847205647364
0.19231384615384617,MOSTLY.AI,0.979740690547948
0.20513410256410258,MOSTLY.AI,0.9806589939116892
0.217954358974359,MOSTLY.AI,0.9814832419749591
0.2307746153846154,MOSTLY.AI,0.9821932077914198
0.24359487179487183,MOSTLY.AI,0.9828950828293452
0.25641512820512824,MOSTLY.AI,0.9835211068185037
0.26923538461538465,MOSTLY.AI,0.9840682457169441
0.28205564102564107,MOSTLY.AI,0.9844879548534557
0.2948758974358975,MOSTLY.AI,0.9848490058455874
0.30769615384615384,MOSTLY.AI,0.9851898298913813
0.32051641025641026,MOSTLY.AI,0.9855235745059568
0.33333666666666667,MOSTLY.AI,0.9858643985517507
0.3461569230769231,MOSTLY.AI,0.9862153360707133
0.3589771794871795,MOSTLY.AI,0.9865217743077327
0.3717974358974359,MOSTLY.AI,0.9867877586520762
0.3846176923076923,MOSTLY.AI,0.9870547543437367
0.39743794871794874,MOSTLY.AI,0.9874542365339105
0.41025820512820516,MOSTLY.AI,0.9878061854001903
0.42307846153846157,MOSTLY.AI,0.9881116122898927
0.435898717948718,MOSTLY.AI,0.9883684945083839
0.4487189743589744,MOSTLY.AI,0.9885899795707841
0.4615392307692308,MOSTLY.AI,0.9887993284653817
0.4743594871794872,MOSTLY.AI,0.9889823823297397
0.48717974358974364,MOSTLY.AI,0.9891522886789781
0.5,MOSTLY.AI,0.9893242177228503
